IncidentDate,City,State,Shape,Duration,Summary,PostedDate
8/28/2016 22:00,Toronto (Canada),ON,Cigar,5 seconds,"Imagine for a moment, as if the pattern of a tiger’s stripes was energetically oscillating at an extremely fast rate.",9/2/2016
8/28/2016 22:00,Newmarket (Canada),ON,Oval,6 seconds,"It appeared as a quickly pulsating, oscillation with long, oval arch to each side, moving at the speed of a meteorite, but wasn't.",9/9/2016
8/28/2016 21:40,Juneau,AK,Formation,25 seconds,3 lights; blue green; straight line; moved vertically.,8/29/2016
8/28/2016 21:35,Runnemede,NJ,,1 minute,Bright white light went back n forth in sky with 2 fighter jets flying next to each other following after it!,8/29/2016
8/28/2016 20:45,Williamsburg,VA,Unknown,20 minutes,"Red, blue, and white silent hovering object over treeline.",8/29/2016
8/28/2016 20:00,Wakefield,NH,Sphere,3 minutes,4 yellow/orange spheres moving slowly in sky. Three in a row in front. The other was a distance behind the middle one. No Sound.,9/2/2016
8/28/2016 19:50,Santa Rosa,CA,Light,15 minutes,White light seen hovering in sky.,8/29/2016
8/28/2016 19:30,Santa Rosa,CA,Oval,1 hour,"Initial object was very bright in the clear eastern sky with no other stars or commercial objects visible - bright white oval, football",8/29/2016
8/28/2016 19:30,Petaluma,CA,Circle,~1 hour,"UFO over Petaluma on August 28, 2016, @ approximately 7:30 pm..",9/2/2016
8/28/2016 18:00,Pottstown,PA,Circle,10 seconds,Metallic circle craft seen in sky.,9/2/2016
8/28/2016 12:16,Piscataway,NJ,Egg,8 minutes,Middlesex NJ 8-10mins 2 3D objects turned into one white circle with a hole in the middle,9/2/2016
8/28/2016 12:16,Piscataway,NJ,Changing,8 minutes,Middlesex NJ 8-10mins 2 3D objects turned into one white circle with a hole in the middle,9/2/2016
8/28/2016 12:00,Sylmar,CA,Other,5 seconds,From one side of the sky to the other Out came a Gigantic almond shape blurry cloud at Mach speed right over me in city of Sylmar,9/9/2016
8/28/2016 10:30,Albuquerque,NM,Triangle,5-7 seconds,"Dark grey, nodular, triangular craft passed overhead above tree line and made absolutely no noise.",9/15/2016
8/28/2016 9:30,Northampton (UK/England),,Oval,15 seconds,Bright red light craft disappeared into thin air.,8/29/2016
8/28/2016 9:00,Camden,NY,Other,10 minutes,Strobe UFO. ((anonymous report)),8/29/2016
8/28/2016 8:57,Old Lyme,CT,Cross,1 minute,Cross like object glowing the went in a split second over the sky.,8/29/2016
8/27/2016 23:15,White House,TN,Fireball,5 minutes,5 bright red orbs traveling west then slowed stopped and turned to the south and faded out.,8/29/2016
8/27/2016 23:00,Surf City,NC,Egg,5 minutes,6 glowing orbs floating silently just above the houses.,9/15/2016
8/27/2016 22:45,Detroit,MI,Formation,5-10 minutes,"((HOAX??)) Moving in a single line,moving in one direction. ((anonymous report))",8/29/2016
8/27/2016 22:15,Sarnia (Canada),ON,Light,3 minutes,Bright light appears on highway with other drivers witnessing.,9/2/2016
8/27/2016 21:25,Spencerport,NY,Circle,8 minutes,"Three Flaming Balls Over Spencerport, NY",8/29/2016
8/27/2016 21:05,Malverne,NY,Light,2 minutes,"Group of 5 solid amber/orange lights, traveling in an open formation from northwest to southeast. ((anonymous report))",8/29/2016
8/27/2016 21:00,Camden,NJ,Light,30 minutes,Lights in the sky at Jimmy Buffett Concert.,8/29/2016
8/27/2016 20:20,Lawrence,KS,Flash,<1 second,Rapid moving flash of light while taking movie of clouds.,8/29/2016
8/27/2016 20:15,Jefferson,SD,Fireball,Few minutes,Brilliant fireball traveled from east to west. ((anonymous report)),8/29/2016
8/27/2016 20:14,Hollister,CA,Light,1 hour,"Six red lights in a row, traveling SE near Hollister. ((anonymous report))((Report re-posted.))",8/29/2016
8/27/2016 18:45,Caledonia,WI,Changing,5 minutes,"South on I-94 Saturday , 08.27.16 at 8:45 pm irregular round shape initially and then unraveling before disappearing.",9/2/2016
8/27/2016 9:00,Ellington,CT,Light,20 seconds,We saw a very fast moving bright light moving to the east. After approximately 15 seconds...it just faded out. We had an aircraft vis,8/29/2016
8/27/2016 0:15,Miami Beach,FL,Light,15 seconds,We currently are experiencing strange appearances in the sky : one blue light and another red light always almost close to each other a,8/29/2016
8/26/2016 23:30,Surf City,NJ,Fireball,1 minute,Fast fireball across sky.,8/29/2016
8/26/2016 22:40,Kingsport,TN,Unknown,2 minutes,Seen same object twice since 07/22/16,8/29/2016
8/26/2016 21:25,Altamonte Springs,FL,Disk,10 minutes,Hovering in sky with no sound. ((NUFORC Note: Twinkling star? PD)),8/29/2016
8/26/2016 20:45,Laplata,MD,Circle,Route 6,((HOAX??)) My gf observed a very large bright light hovering in the sky much bigger than a star. ((anonymous report)),8/29/2016
8/26/2016 20:30,Macomb,IL,Triangle,2 minutes,"It was triangular in shape it looked like several spheres making connected making up the triangle. It had a weird glow to it, it was f",8/29/2016
8/26/2016 20:15,Gilbertsville,PA,Rectangle,5 minutes,"Three black rectangular objects, traveling in a line at low altitude with no sound or apparent means of propulsion.",9/2/2016
8/26/2016 20:00,San Antonio,TX,Light,1 hour,I live on the northside and at 8pm I notice that dark clouds and lightning began forming on the westside of town-my next destination. W,8/29/2016
8/26/2016 13:00,Visalia,CA,Unknown,2-3 seconds,Sky suddenly dimmed during a lunchtime walk.,8/29/2016
8/26/2016 7:00,Wilson,NC,Cigar,5 minutes,"White, pill shaped, silent, wingless aircraft glided from north to south across the horizon in full daylight.",8/29/2016
8/26/2016 3:00,Waterton (Canada),,Disk,2 minutes,Bluish green object moving up and down over a lake.,8/29/2016
8/25/2016 23:00,Astoria,OR,Circle,3 seconds,Large yellow orb crossed the sky twice heading east.,8/29/2016
8/25/2016 22:15,Cedar Park,TX,Light,3 minutes,Extremely bright light grew faint and stopped.,8/29/2016
8/25/2016 21:35,Pacific Palisades,CA,Oval,<1 minute,"Two fiery deep orange oval-ish shapes erratically flying from north heading southbound against local flight patterns, then disappearing",8/29/2016
8/25/2016 21:00,Aloha,OR,Circle,,Red round light bouncing around the sky quickly,8/29/2016
8/25/2016 20:58,Canton,OH,Fireball,5 minutes,"Golden glowing, flame like orb in night sky.",8/29/2016
8/25/2016 20:45,Kennesaw,GA,Light,1-2 minutes,Lights in the sky in Kennesaw.,8/29/2016
8/25/2016 20:15,Sheffield,MA,Diamond,3 minutes,Two groups of orange diamond shaped lights moving very slowly (7 total diamonds) independently of each other and gone within 3 mins.,8/29/2016
8/25/2016 16:15,Harrogate,TN,Sphere,15 minutes,"At around 4:15 p.m.,as I was waiting to pick my child up from basketball practice, I noticed a small silver circular object in the sky.",9/9/2016
8/25/2016 14:00,Cicero,IL,,,Yesterday afternoon at approximately 2:00pm my 7 year old son noticed a beam of light that appeared to be coming from the sky into our,8/29/2016
8/25/2016 10:30,Goldsboro,NC,Unknown,~2 hours,At first appearance we thought it was a star.,8/29/2016
8/25/2016 10:00,Blackshear,GA,Unknown,2 minutes,unexplained object that disappeared into the nite sky.,8/29/2016
8/25/2016 5:40,McConnellsburg,PA,Triangle,3 minutes,"08/24/2016 large, silent, triangular object flew over farm.",8/29/2016
8/25/2016 2:20,Lakewood,WA,Fireball,3 minutes,Third time I've seen this. This time strange because they were red at first than turned white toward Ft. Lewis.,8/29/2016
8/24/2016 23:30,Mosca,CO,Formation,00:20.0,In Pinon Flats in Great Sand Dunes. My friend and I were taking photos of the night sky. ((NUFORC Note: Insect in flight? PD)),8/25/2016
8/24/2016 23:30,Thornton,CO,Changing,2 minutes,Shape changing square/diamond UFO with circle lights that changed color. Flying very low.,8/25/2016
8/24/2016 21:45,Whitehall,NY,Flash,10 seconds,"Streak of light over Whitehall, NY, pauses then vanishes is a flash of light lasted just seconds.",8/25/2016
8/24/2016 20:30,Emporium,PA,Other,20 minutes,I just witnessed 2 fighter jets escorting what looked to be a huge dark thing. At first I thought it was an airplane.,8/25/2016
8/24/2016 20:30,Rantoul,IL,Circle,0.30 minutes,Ufo maybe?,8/29/2016
8/24/2016 20:15,Rantoul,IL,Light,30 minutes,"Two white lights seen by two separate people 30 minutes apart in same location, central IL.",8/25/2016
8/24/2016 20:00,SeaTac Airport,WA,Oval,3-5 minutes,"At first I thought it was just someone playing with a drone because it was moving around all over the place, but it kept moving.",8/29/2016
8/24/2016 18:20,Recife,,Light,Few seconds,"Hi, i'm Brazilian and i'm trying to type in english, so...",8/29/2016
8/24/2016 16:00,Lakeland,FL,Circle,4 minutes,"Driving E. In the SE direction, I notice a bright white light that isn't moving.",8/25/2016
8/24/2016 12:20,Murrieta,CA,Rectangle,1:30,"3 rectangular UFO's, white, black, and grey.",9/9/2016
8/24/2016 8:00,Syracuse,NY,Light,30 minutes,Bright stationary lights in the sky that looked like stars in bright day light.,8/25/2016
8/24/2016 6:45,Walnut Creek (area off I-680),CA,Formation,30 seconds,Driving towards San Jose area this morning and noticed small bright lit craft hovering in distance; area was hilly.,8/25/2016
8/24/2016 6:31,Cleveland (Oneida Lake),NY,Other,snap of camera,"Partial CLOSE-UP picture of UFO over Oneida Lake, NY. 8/24/16 @ 6:31am",9/9/2016
8/24/2016 3:45,Mobile,AL,Cigar,Mobile,"I was leaving work on I-65 S, @ around government blv exit and saw this in the air for a few minutes.",8/29/2016
8/24/2016 0:00,Holiday,FL,Light,Hours,Flashing circular objects moving.,8/29/2016
8/23/2016 23:30,Baytown,TX,Other,15 minutes,"Huge cloud of smoke, with a bright flashing light changing from pink to purple at each flash. Appeared to be from a very large fire.",8/25/2016
8/23/2016 23:00,Rutland (near; Griffith Lake),VT,Circle,6 seconds,Bright flash of circler light over Green Mt..,8/29/2016
8/23/2016 22:54,Seminole,FL,Changing,1:16,"10:54 PM EST Seminole, FL. Leaving out home next to Seminole High School, we noticed an odd light arrangement in the sky.",8/25/2016
8/23/2016 22:20,Holland,MI,Fireball,<1 minute,2 bright orange/red balls moving SSE to NNW (one after the other) across sky in approximately 10 seconds.,8/25/2016
8/23/2016 22:07,Carver,MA,Cylinder,3 seconds,Fast straight down. Lights underneath. ((anonymous report)),8/25/2016
8/23/2016 21:40,Ocean City,MD,Formation,3 seconds,"I saw 5 lights, in the shape of a ""V,"" flying across the sky in Ocean City, MD.",8/25/2016
8/23/2016 21:30,East Providence,RI,Light,2 minutes,"For ~2 mins., a low lying bright amber covered light hovered in the sky and disappeared without moving and in the area of a/c.",8/25/2016
8/23/2016 21:00,Palm Harbor,FL,Light,10-12 minutes,On the night of Aug 23 at around 9 to 9:30pm I observed a group of about 20 orange/red Lights traveling from west to east in the sky. T,8/29/2016
8/23/2016 19:30,Charleston,SC,Light,,Star-like object disappears into clouds.,8/25/2016
8/23/2016 19:00,Gila Bend,AZ,Light,20 minutes,Lights in the sky.,9/2/2016
8/23/2016 17:30,Kansas City/Columbia (between),MO,Triangle,10 minutes (flyover),"I-70/MM 90, I saw two low-flying triangular crafts. They were massive and appeared to be flat. ((NUFORC Note: B2 bombers. PD))",8/25/2016
8/23/2016 10:30,Hilliard,OH,Triangle,30,((HOAX??)) the of us had seen it on the right side above a neighbor's house. ((anonymous report)),8/25/2016
8/23/2016 2:00,Boise,ID,Sphere,seconds,"Large green glowing spherical light traveling north at high rate of speed. No tail, no sound.",8/25/2016
8/22/2016 22:30,Ann Arbor,MI,Light,5 minutes,"Two red glowing lights, moving slowly southeastward, looking from central Ann Arbor.",8/25/2016
8/22/2016 22:26,Philadelphia,PA,Light,30 seconds,Flash of light falls from sky and disappears when it hits the ground. ((anonymous report)),8/25/2016
8/22/2016 22:23,Hossegor (France),,Triangle,1 second,Black silent hight speed triangle.,8/25/2016
8/22/2016 22:15,Prescott Valley,AZ,Other,8 seconds,"I saw two bright orange lights in the night that slowly glowed on , then slowly glowed off.",8/25/2016
8/22/2016 22:06,Montreal West (Canada),QC,Disk,4 seconds,Disk-shaped object with 3 pairs of lights appears in photo taken of planets in the night sky.,8/25/2016
8/22/2016 21:50,Westwood,MA,Circle,10 seconds,"Bright circle light being, followed by two helicopters. ((anonymous report)).",8/25/2016
8/22/2016 21:30,Stoddard,NH,Rectangle,2 minutes,"Rectangular object with square lights on the same level, but randomly spaced on the lower surface.",8/25/2016
8/22/2016 21:25,Avalon,CA,Other,3 hours,"Flat, agile.",8/25/2016
8/22/2016 21:00,Oak Grove,MO,Circle,5 seconds,Looked up and saw a yellow/orange stationary light that was brighter than a shooting star slowly get brighter over about two seconds.,8/25/2016
8/22/2016 20:15,Montrose,CO,Sphere,1 minute,"One large orange ball crossed the sky above the horizon at apporximately 8:15 on 8-22-16 in Montrose, CO.",8/25/2016
8/22/2016 20:00,Mantua,NJ,Light,5 minutes,Glowing object slowly moved across the sky near 8 PM.,8/25/2016
8/22/2016 20:00,Sedona,AZ,Unknown,2-3 hours,Lights and entities in Northern Arizona.,8/29/2016
8/22/2016 19:00,Swedesboro,NJ,Cigar,2-3 minutes,"Driving on Kings Highway, my husband, daughter and I, saw something in the sky. It wasn't a plane, and there were 3 of them.",8/25/2016
8/22/2016 12:25,Santa Ana,CA,Disk,30 seconds,Shape of a saucer. Moved quickly. Was only 1; grey. I'm a 29 yr old college-educated female. ((anonymous report)),8/25/2016
8/22/2016 6:00,Elkhorn,NE,Oval,7 minutes,Sphere not moving than vanished in seconds.,8/25/2016
8/22/2016 2:49,Perris,CA,Fireball,>20 minutes,Orange light in sky that makes explosion sounds.,8/25/2016
8/22/2016 2:25,Perris,CA,Unknown,40 minutes,"Slow moving bright light shoots pyrotechnic toward ground over rural Perris, Gavilan Hills.",8/29/2016
8/22/2016 2:00,Mauriceville/Buna,TX,Light,~13 minutes,Bright white flashing and moving light that followed along side 2 passengers in a car over 20 miles up above the tree line at night,9/2/2016
8/22/2016 0:30,Hibbing,MN,Fireball,30 seconds,"Seen a glowing object, kind of at first looked triangular then turned into more of a fire ball look. Glowing.",8/25/2016
8/22/2016 0:30,Rheden (Netherlands),,Light,15 minutes,Light stayed for 10 or 15 minutes then slowly moves and fades.,8/25/2016
8/22/2016 0:00,Whitehorse (Canada),YT,Other,the past three nights,((HOAX??)) Cool scary and weird.,8/29/2016
8/21/2016 23:00,Silverton,OR,Light,1-2 minutes?,"Camping outside when a bright light in the sky flashed, moved to the right, then faded out.",8/25/2016
8/21/2016 23:00,Silverton,OR,Light,2 minutes?,"Bright white light in night sky flashed, moved to the right, then faded out.",8/25/2016
